Timestamp,Puzzle_Solve_Time,Memory_Score,Grade_Level,numAPs,Study_Time,NonAc_Extra_Count,NonAc_Extra_Time,Ac_Extra_Count,Ac_Extra_Time,Sleep_Time,Commute_Time,Parent_Involvement,GPA
5/14/2026 14:53:10,60,6,12,6,5,2,6,1,0,8,50,2,3.8
5/14/2026 15:00:15,133,5,11,7,5,3,10,0,0,8,30,1,3.6
5/14/2026 15:08:30,20,12,11,6,3,3,13,1,1,7,70,2,3.7
5/14/2026 15:18:50,126,14,12,5,2,0,0,0,0,6,45,1,3.7
5/14/2026 15:24:38,40,14,11,6,1,3,16,0,0,7,40,1,3.4
5/14/2026 15:29:58,31,2,12,6,2,3,3,0,0,8,40,1,3.2
5/14/2026 15:35:56,39,12,11,5,2,3,5,0,0,7,15,2,3.2
5/14/2026 15:43:15,66,5,11,6,0.5,3,6.7,5,6.7,7,30,1,3.6
5/14/2026 15:50:03,16,6,12,4,1,6,12,1,4,6,20,3,3.9
5/15/2026 8:23:59,39,8,12,6,3,3,7,1,3,6,40,2,3.72
5/15/2026 8:31:00,24,4,12,5,0,2,5,0,0,8,30,1,3.3
5/15/2026 8:35:15,64,8,11,5,5,3,15,1,2,7,7,2,2.8
5/15/2026 8:42:30,6,12,11,7,1,1,16,0,0,6.5,30,2,3.5
5/15/2026 8:43:38,90,7,11,6,21,3,14,5,12,9,15,2,3.67
5/15/2026 8:51:01,15,16,11,7,20,4,20,1,4,7,24,2,3.56
5/15/2026 8:51:12,28,1,11,6,20,2,3,1,12,7.5,25,1,3.8
5/15/2026 8:54:46,67,1,11,5,12,5,13,2,6,7,25,2,3.4
5/15/2026 8:56:03,81,15,11,6,2,3,10,1,2,6,20,1,3.23
5/15/2026 8:59:06,26,12,11,6,0.5,3,4,0,0,7,45,2,3.5
5/15/2026 9:01:28,32,6,11,7,3,3,20,0,0,7.5,35,1,3.7
5/15/2026 9:01:38,17,14,11,7,0.1,2,16,0,0,7,15,2,3.8
5/15/2026 9:04:51,43,6,10,2,5,2,17,1,5,6,40,2,3.7
5/15/2026 9:05:48,14,15,11,6,20,2,8,0,0,7,40,1,3.8
5/15/2026 9:08:33,43,3,11,6,5,2,5,2,5,6.5,35,1,3.78
5/15/2026 9:09:21,26,13,11,6,1,2,4,0,0,7,40,1,3.5
5/15/2026 9:13:30,17,1,12,6,0,3,15,0,0,9,1,1,3.5
5/15/2026 9:14:44,17,11,11,4,2,3,4,2,1,5,30,3,3.2
5/15/2026 9:20:15,33,5,11,5,0.5,2,15,0,0,8,15,1,3.3
5/15/2026 9:22:40,74,15,10,3,5,2,8,3,10,6.5,50,2,3.67
5/15/2026 9:24:58,91,3,10,2,8,3,5,2,0.5,8,30,2,3.65
5/15/2026 9:28:36,97,3,11,4,12,3,13,2,3,5.5,60,2,3.3
5/15/2026 9:29:42,85,3,10,2,1,4,22,0,0,6,45,1,3.3
5/18/2026 7:43:01,115,5,11,7,3,2,15,0,0,8,40,2,3.67
5/18/2026 8:32:54,60,5,9,1,2,2,5,0,0,7,30,2,2.9
5/18/2026 8:33:10,15,5,10,1,4,3,7,0,0,8.5,50,2,3.25
5/18/2026 8:36:52,300,4,9,0,0,2,25,0,0,67,90,2,3.5
5/18/2026 8:38:12,53,6,11,6,5,3,16,2,4,7,30,2,3.65
5/18/2026 8:40:43,11,4,11,6,15,2,3,4,4,6.5,10,2,3.67
5/18/2026 8:42:40,98,6,9,0,1,3,10,0,0,9,45,3,3.5
5/18/2026 8:46:01,12,6,11,4,10,2,6,2,5,6,27,1,3.6
5/18/2026 8:48:08,71,12,10,2,8,2,5,0,0,9,30,2,3.3
5/18/2026 8:53:29,140,11,9,0,7,3,20,0,0,8.5,40,3,3.4
5/18/2026 8:56:08,42,6,9,0,5,1,2,1,1,6,40,2,3
5/18/2026 9:11:58,22,4,9,1,5,2,5,6,25,8,30,2,3.65
5/18/2026 9:13:01,57,6,12,5,3,4,18,0,0,6,15,1,3
5/18/2026 9:16:52,24,8,10,3,3,4,4,2,4,9,50,2,3.7
5/18/2026 9:20:38,308,2,11,6,3,3,12,1,2,7,35,2,3.8
5/18/2026 9:23:26,165,3,12,5,0,2,5,3,8,6,30,1,3.7
5/18/2026 9:25:28,149,2,11,6,8,2,10,3,2,6,45,2,3.3
5/18/2026 9:28:08,8,13,11,7,20,1,6,3,6,7,30,2,3.8
5/18/2026 9:29:05,25,13,9,2,1.5,3,4,3,1,4.5,30,1,3.84
5/18/2026 9:31:39,24,1,9,1,2,7,20,0,0,6,10,2,3.4
5/18/2026 9:34:27,14,17,9,1,8,4,25,0,0,6.5,15,2,3.7
5/18/2026 9:37:27,97,2,9,1,12,8,25,4,7,6,40,2,3.775
5/18/2026 9:37:58,26,7,11,6,12,2,3,1,7,6,25,2,3.5
5/18/2026 9:45:09,35,3,11,6,6,2,17,0,0,5,60,1,3.7
5/18/2026 9:47:41,30,6,11,5,4,3,2,0,0,7,40,1,3.6
5/18/2026 9:49:23,28,8,11,4,12,3,10,1,5,6,30,2,3.7
5/18/2026 9:49:55,12,9,10,2,2,2,20,1,1,7,40,2,3.69
5/18/2026 9:55:09,87,3,10,1,4,1,5,0,0,6,55,1,3.65
5/18/2026 13:44:20,23,4,11,4,10,5,15,1,1,7,40,2,3.5
