Timestamp,Puzzle_Solve_Time,Memory_Score,Grade_Level,numAPs,Study_Time,NonAc_Extra_Count,NonAc_Extra_Time,Ac_Extra_Count,Ac_Extra_Time,Sleep_Time,Commute_Time,Parent_Involvement,GPA
5/14/2026 14:53:10,60,6,12,6,5,2,6,1,0,8,50,2,3.8
5/14/2026 15:00:15,133,5,11,7,5,3,10,0,0,8,30,1,3.6
5/14/2026 15:08:30,20,12,11,6,3,3,13,1,1,7,70,2,3.7
5/14/2026 15:18:50,126,14,12,5,2,0,0,0,0,6,45,1,3.7
5/14/2026 15:24:38,40,14,11,6,1,3,16,0,0,7,40,1,3.4
5/14/2026 15:29:58,31,2,12,6,2,3,3,0,0,8,40,1,3.2
5/14/2026 15:35:56,39,12,11,5,2,3,5,0,0,7,15,2,3.2
5/14/2026 15:43:15,66,5,11,6,0.5,3,6.7,5,6.7,7,30,1,3.6
5/14/2026 15:50:03,16,6,12,4,1,6,12,1,4,6,20,3,3.9
5/15/2026 8:23:59,39,8,12,6,3,3,7,1,3,6,40,2,3.72
5/15/2026 8:31:00,24,4,12,5,0,2,5,0,0,8,30,1,3.3
5/15/2026 8:35:15,64,8,11,5,5,3,15,1,2,7,7,2,2.8
5/15/2026 8:42:30,6,12,11,7,1,1,16,0,0,6.5,30,2,3.5
5/15/2026 8:43:38,90,7,11,6,21,3,14,5,12,9,15,2,3.67
5/15/2026 8:51:01,15,16,11,7,20,4,20,1,4,7,24,2,3.56
5/15/2026 8:51:12,28,1,11,6,20,2,3,1,12,7.5,25,1,3.8
5/15/2026 8:54:46,67,1,11,5,12,5,13,2,6,7,25,2,3.4
5/15/2026 8:56:03,81,15,11,6,2,3,10,1,2,6,20,1,3.23
5/15/2026 8:59:06,26,12,11,6,0.5,3,4,0,0,7,45,2,3.5
5/15/2026 9:01:28,32,6,11,7,3,3,20,0,0,7.5,35,1,3.7
5/15/2026 9:01:38,17,14,11,7,0.1,2,16,0,0,7,15,2,3.8
5/15/2026 9:04:51,43,6,10,2,5,2,17,1,5,6,40,2,3.7
5/15/2026 9:05:48,14,15,11,6,20,2,8,0,0,7,40,1,3.8
5/15/2026 9:08:33,43,3,11,6,5,2,5,2,5,6.5,35,1,3.78
5/15/2026 9:09:21,26,13,11,6,1,2,4,0,0,7,40,1,3.5
5/15/2026 9:13:30,17,1,12,6,0,3,15,0,0,9,1,1,3.5
5/15/2026 9:14:44,17,11,11,4,2,3,4,2,1,5,30,3,3.2
5/15/2026 9:20:15,33,5,11,5,0.5,2,15,0,0,8,15,1,3.3
5/15/2026 9:22:40,74,15,10,3,5,2,8,3,10,6.5,50,2,3.67
5/15/2026 9:24:58,91,3,10,2,8,3,5,2,0.5,8,30,2,3.65
5/15/2026 9:28:36,97,3,11,4,12,3,13,2,3,5.5,60,2,3.3
5/15/2026 9:29:42,85,3,10,2,1,4,22,0,0,6,45,1,3.3
