ID,Crash ID,crash_fatal_fl,case_id,Primary address,Secondary address,rpt_block_num,rpt_street_name,rpt_street_sfx,crash_speed_limit,road_constr_zone_fl,latitude,longitude,crash_sev_id,sus_serious_injry_cnt,nonincap_injry_cnt,poss_injry_cnt,non_injry_cnt,unkn_injry_cnt,tot_injry_cnt,death_cnt,units_involved,point,motor_vehicle_death_count,motor_vehicle_serious_injury_count,bicycle_death_count,bicycle_serious_injury_count,pedestrian_death_count,pedestrian_serious_injury_count,motorcycle_death_count,motorcycle_serious_injury_count,other_death_count,other_serious_injury_count,onsys_fl,private_dr_fl,micromobility_serious_injury_count,micromobility_death_count,Crash timestamp (US/Central),Crash timestamp,Is deleted,Is temporary record,Law enforcement fatality count,Reported street prefix,Estimated Maximum Comprehensive Cost,Estimated Total Comprehensive Cost
1777669,20966791,FALSE,252310090,0843 N RED RIVER ST,0840 E E 37TH ST ST,843,RED RIVER ST,,35,FALSE,30.29493251,-97.72395102,5,0,0,0,3,0,0,0,Passenger car,POINT (-97.72395102 30.29493251),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,08/19/2025 1:30:00 AM,08/19/2025 6:30:00 AM,FALSE,FALSE,0,,20000,60000
1777668,20966790,FALSE,252301657,6400 183 TOLL SB,LOYOLA LN,6400,183 TOLL SB,,75,FALSE,30.30136516,-97.66107663,0,0,0,0,0,0,0,0,Passenger car,POINT (-97.66107663 30.30136516),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,08/18/2025 11:30:00 PM,08/19/2025 4:30:00 AM,FALSE,FALSE,0,,20000,20000
1777664,20966782,FALSE,252301493,7500 S IH 35 NB,7500 S IH 35 NB,7500,S IH 35 NB,,60,TRUE,30.17716931,-97.7794138,3,0,0,1,1,0,1,0,Large passenger vehicle & Passenger car,POINT (-97.7794138 30.17716931),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,08/18/2025 9:33:00 PM,08/19/2025 2:33:00 AM,FALSE,FALSE,0,,200000,220000
1777797,20968912,FALSE,252301490,9100 N NOT REPORTED,9400 N NOT REPORTED,9100,NOT REPORTED,,75,TRUE,30.3737241,-97.72721561,2,0,1,0,1,0,1,0,Large passenger vehicle & Motorcycle,POINT (-97.72721561 30.3737241),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,08/18/2025 9:30:00 PM,08/19/2025 2:30:00 AM,FALSE,FALSE,0,,250000,270000
1777704,20966788,FALSE,252301355,12201 S DESSAU RD RD,1712 W SCOTTSDALE LN LN,12201,DESSAU RD,RD,40,FALSE,,,3,0,0,3,0,0,3,0,Large passenger vehicle & Passenger car,,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,08/18/2025 7:51:00 PM,08/19/2025 12:51:00 AM,FALSE,FALSE,0,,200000,600000
1778559,20980772,FALSE,TX 25-1383403,NOT REPORTED,NOT REPORTED,,NOT REPORTED,,55,FALSE,30.40318949,-97.8532403,5,0,0,0,4,0,0,0,Large passenger vehicle,POINT (-97.8532403 30.40318949),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,08/18/2025 5:31:00 PM,08/18/2025 10:31:00 PM,FALSE,FALSE,0,,20000,80000
1777703,20966787,FALSE,252301100,8600 S IH 35 SB,E SLAUGHTER LN,8600,S IH 35 SB,,70,TRUE,30.15390462,-97.79145471,5,0,0,0,5,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.79145471 30.15390462),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,08/18/2025 4:57:00 PM,08/18/2025 9:57:00 PM,FALSE,FALSE,0,,20000,100000
1778006,20971389,FALSE,252301076,9400 S RESEARCH SB TO MOPAC RAMP HWY,9600 S N CAPITAL OF TEXAS HWY NB HWY,9400,RESEARCH SB TO MOPAC RAMP,HWY,65,TRUE,30.39004919,-97.74621741,2,0,1,0,1,0,1,0,Large passenger vehicle & Passenger car,POINT (-97.74621741 30.39004919),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,08/18/2025 4:43:00 PM,08/18/2025 9:43:00 PM,FALSE,FALSE,0,,250000,270000
1777666,20966784,FALSE,252301021,E W 5TH ST ST,N PRESSLER ST ST,,W 5TH ST,ST,45,FALSE,30.27268478,-97.76082246,2,0,3,0,0,0,3,0,Passenger car,POINT (-97.76082246 30.27268478),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,08/18/2025 4:01:00 PM,08/18/2025 9:01:00 PM,FALSE,FALSE,0,,250000,750000
1777702,20966785,FALSE,252301018,E E BRAKER LN LN,N DESSAU RD RD,,E BRAKER LN,LN,50,FALSE,30.37240618,-97.66587558,5,0,0,0,2,0,0,0,Passenger car,POINT (-97.66587558 30.37240618),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,08/18/2025 3:55:00 PM,08/18/2025 8:55:00 PM,FALSE,FALSE,0,,20000,40000
