Team #,Team Name,"Matches
Played",AM (AVG),AL4 (IQM),AL3 (IQM),AL2 (IQM),AL1 (IQM),AR (IQM),AP (IQM),AN (IQM),TD,TL4 (IQM),TL3 (IQM),TL2 (IQM),TL1 (IQM),TR (IQM),TP (IQM),TN (IQM),Dropped/Missed (IQM),Fouls (IQM),Broken? (AVG),Miss Rate (%),Climb Pts (IQM),Teleop Coral Avg (w/o Defense),Teleop Algae Avg (SUM),Auto Points (SUM),Teleop Points (SUM),Defense Effectiveness (AVG),All Points (SUM),Haze Power Ranking,,,,,
78,AIR STRIKE,10,0.9,1.5,0,0,0,0,0,0,0,1.375,2.5,2.25,0.5,1.75,0.875,0.875,4.625,0,0,0.32,12,7.1,0.875,10.5,29.875,0,61.4,5.423643429,,,,,0
179,Children of the Swamp,10,0.9,1.375,0.375,0,0,0.375,0,0,0.1,3.125,3.625,2.625,0.5,0.625,0,1.25,3.125,0,0.1,0.20,12,10,0,11.875,44,0,72.6,3.711046552,,,,,
226,Hammerheads,10,1,2.125,0,0,0.25,0,0,0,0,1.75,3,3.375,0.375,1.625,0.25,0.625,2.375,0,0,0.17,9.5,8.6,0.25,15.625,34.625,0,64.3,6.47306407,,,,,
302,The Dragons,10,1,2.875,0,0,0,0,0,0,0.1,2.875,3.875,2.25,0,1.75,0.625,1.125,1.5,0,0,0.10,5.75,8.6,0.625,20.125,42.375,0,76.9,6.918802131,,,,,
418,Purple Haze,10,1,2,0,0,0,0,0,0,0,3.125,3.25,2,0.5,1.875,0,0,1.875,0,0,0.15,10.75,9.3,0,14,35.625,0,62.9,8.397134832,,,,,
494,Martians,9,1,2,0,0,0,0,0,0,0,2.714285714,3.428571429,3,0,2.142857143,0.7142857143,1,0.4285714286,0,0,0.03,7.714285714,9.111111111,0.7142857143,14,41.71428571,0,69.44444444,8.685769932,,,,,
537,Charger Robotics,10,1,0.375,0,0,0,0,0,0,0,3,2.125,1.25,0,0,0,0,2.375,0,0.1,0.26,9.5,7,0,2.625,27.25,0,44.8,5.467799358,,,,,
694,StuyPulse,9,1,3,0,0,0,0,0,0,0,2.571428571,4.714285714,4.571428571,0.4285714286,3,1.857142857,2.285714286,1.571428571,0,0,0.07,12,12.55555556,1.857142857,21,59.14285714,0,106,10.87955825,,,,,
900,The Zebracorns,11,0.9090909091,2,0,0,0,0,0,0,0.09090909091,2.777777778,4.111111111,3.888888889,0.2222222222,0,0,0,5.333333333,0,0.09090909091,0.29,2,10.81818182,0,14,42.44444444,0,63.72727273,8.666169057,,,,,
1369,Minotaur,9,0.8888888889,0.8571428571,0,0,0,0.8571428571,0,0.5714285714,0,0,0,0,0.1428571429,1.285714286,1.428571429,3.285714286,1.428571429,0,0,0.19,1.714285714,0.5555555556,1.428571429,8.285714286,16.28571429,0,36.77777778,-5.713407312,,,,,
1425,Error Code Xero,9,0.8888888889,2.714285714,0,0,0,0,0,0,0.1111111111,1.857142857,3.857142857,3.428571429,1.571428571,1.428571429,0.2857142857,0.2857142857,0.7142857143,0,0,0.05,6.857142857,10.22222222,0.2857142857,19,39.85714286,0,71.77777778,6.721323283,,,,,
1481,The Riveters,10,0.9,1,0,0,0,0.375,0,0.125,0,1.875,3,1.25,0.375,1.5,0,0.125,1.75,0,0,0.18,7,7.2,0,7.5,26.375,0,46.7,4.890894778,,,,,
